Date,Open,High,Low,Close,Adj Close,Volume
1/1/15,104.330002,111.349998,98.730003,102.209999,95.690704,31635500
2/1/15,102,107.57,101.559998,103.779999,97.160545,23028600
3/1/15,103.779999,104.199997,98.269997,100.910004,94.947289,21117800
4/1/15,100.139999,102.559998,91.129997,91.919998,86.488503,29840300
5/1/15,92.309998,96.400002,92.309998,92.860001,87.372971,20979100
6/1/15,92.919998,93.230003,87.790001,88.830002,84.054039,29230400
7/1/15,89.209999,93.339996,88.25,92.889999,87.895767,18834800
8/1/15,92.879997,93.699997,82.410004,90.239998,85.388245,30416100
9/1/15,88.239998,94.419998,86.669998,91.879997,87.497002,22158400
10/1/15,92.279999,97.400002,87.059998,88.690002,84.459175,27486400
11/1/15,88.870003,89.199997,83.040001,86.309998,82.192719,27917900
12/1/15,86.349998,92,84,89.269997,85.601486,26147100
1/1/16,88.160004,88.879997,82.419998,88.110001,84.489159,31690700
2/1/16,88.190002,92.470001,87.379997,90.889999,87.154915,27309000
3/1/16,91.709999,93.790001,89.25,92.089996,88.879105,21610500
4/1/16,91.889999,94.93,87.919998,93.110001,89.863541,29257400
5/1/16,93.080002,94.540001,89.169998,92.849998,89.612602,24785700
6/1/16,93.019997,117.790001,92,113.489998,110.241005,49851300
7/1/16,112.099998,114.589996,107.830002,110.760002,107.589172,37767400
8/1/16,109.160004,114.160004,98.75,99.889999,97.030357,33263700
9/1/16,100.059998,100.449997,94.449997,95.599998,93.36982,29127100
10/1/16,95.300003,103.360001,94.029999,102.459999,100.069786,26673200
11/1/16,102.599998,102.949997,96.260002,96.639999,94.385559,27983300
12/1/16,96.5,105.269997,95.68,103.43,101.654564,18672600
1/1/17,103.839996,107.25,103.010002,105.470001,103.659546,18673300
2/1/17,105.290001,109.580002,101.610001,108.349998,106.490112,24408000
3/1/17,108.599998,109.900002,107.120003,109.25,107.989868,22700300
4/1/17,108.93,110,106.510002,108.199997,106.951973,17326000
5/1/17,108,116.489998,106,115.269997,113.940422,24131700
6/1/17,115.589996,116.019997,106.050003,107.370003,106.716377,23247500
7/1/17,107.050003,108.099998,103.769997,105.309998,104.668915,20304400
8/1/17,105.510002,109.339996,103.879997,104.919998,104.281288,23626500
9/1/17,105.379997,110.690002,104.199997,109.169998,109.169998,21542800
10/1/17,109.199997,110.989998,102.519997,104.730003,104.730003,20971000
